work_year,experience_level,employee_residence,remote_ratio,company_location,company_size,salario_eur,job_title_mean,company_location_mean,employee_location_mean,job_title_map,employment_type_encoded
137121.89788235293,1,57,100,55,3,15660.24,131362.87584615385,27781.922068965516,33320.97464788733,3,2
137121.89788235293,3,27,100,27,2,62852.560000000005,104628.19600000001,63289.253333333334,71742.10181818182,1,2
137121.89788235293,2,33,0,27,2,69018.40000000001,125732.80363636365,63289.253333333334,63507.600000000006,4,2
137121.89788235293,3,4,0,3,2,128800.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,110400.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,117760.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,74980.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,133400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,105800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,170200.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,128800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,4,4,0,3,2,303140.0,169148.9,139676.24877631577,140596.25071904127,5,2
137121.89788235293,4,4,0,3,2,248032.0,169148.9,139676.24877631577,140596.25071904127,5,2
137121.89788235293,3,4,0,3,2,92000.0,78486.51428571428,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,73600.0,78486.51428571428,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,230000.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,149500.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,2,4,100,3,2,184000.0,125732.80363636365,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,0,3,2,133400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,92000.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,4,4,0,3,2,133400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,4,4,0,3,2,105800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,187220.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,139840.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,3,219880.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,3,113068.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,218040.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,133400.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,176423.80000000002,175976.47379310345,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,123497.12000000001,175976.47379310345,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,174800.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,103040.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
122671.5311298077,3,40,100,19,3,81195.52,129600.18423809524,79938.8481395349,55626.28200000001,1,2
137121.89788235293,1,4,0,3,2,78200.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,1,4,0,3,2,59800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
